strategy,dataset,n_train,accuracy,f1,precision,recall,pr_auc,roc_auc
No Resampling,UCI-Epileptic (Real),9200,0.8047826086956522,0.04670912951167728,1.0,0.02391304347826087,0.47016100216650586,0.5032561436672968
SMOTE,UCI-Epileptic (Real),14720,0.6565217391304348,0.3427620632279534,0.2776280323450135,0.44782608695652176,0.46224205345219405,0.4902126654064272
Undersampling,UCI-Epileptic (Real),3680,0.6739130434782609,0.3622448979591837,0.29748603351955305,0.46304347826086956,0.4707147239520127,0.5091812381852552
Class Weighting,UCI-Epileptic (Real),9200,0.6691304347826087,0.35888795282224095,0.29298486932599727,0.46304347826086956,0.4641790404452859,0.5025850661625708
No Resampling,CHB-MIT Proxy (Real),3680,0.5836956521739131,0.5391095066185319,0.6037735849056604,0.48695652173913045,0.6937152667049544,0.5174432892249528
SMOTE,CHB-MIT Proxy (Real),3680,0.5836956521739131,0.5391095066185319,0.6037735849056604,0.48695652173913045,0.6937152667049544,0.5174432892249528
Undersampling,CHB-MIT Proxy (Real),3680,0.5836956521739131,0.5391095066185319,0.6037735849056604,0.48695652173913045,0.6937135429203397,0.5174385633270321
Class Weighting,CHB-MIT Proxy (Real),3680,0.5836956521739131,0.5391095066185319,0.6037735849056604,0.48695652173913045,0.6937152667049544,0.5174432892249528
No Resampling,Kaggle-Frequency (Real),3680,0.9836956521739131,0.9834619625137817,0.9977628635346756,0.9695652173913043,0.9987705908144452,0.998397920604915
SMOTE,Kaggle-Frequency (Real),3680,0.9836956521739131,0.9834619625137817,0.9977628635346756,0.9695652173913043,0.9987705908144452,0.998397920604915
Undersampling,Kaggle-Frequency (Real),3680,0.9836956521739131,0.9834619625137817,0.9977628635346756,0.9695652173913043,0.9987705908144452,0.998397920604915
Class Weighting,Kaggle-Frequency (Real),3680,0.9836956521739131,0.9834619625137817,0.9977628635346756,0.9695652173913043,0.9987705908144452,0.998397920604915
