dataset,penalty,C,f1,pr_auc,roc_auc,sparsity,accuracy
UCI-Epileptic (Real),L1,0.001,0.0,0.2,0.5,100.0,0.8
UCI-Epileptic (Real),L2,0.001,0.36789297658862874,0.47897294964798753,0.5099196597353497,0.0,0.671304347826087
UCI-Epileptic (Real),ElasticNet,0.001,0.3333333333333333,0.2,0.5,100.0,0.2
UCI-Epileptic (Real),L1,0.01,0.31092436974789917,0.48320182066653494,0.5055883742911154,55.00000000000001,0.5721739130434783
UCI-Epileptic (Real),L2,0.01,0.3628831814415907,0.47570413167253667,0.5123204158790171,0.0,0.6656521739130434
UCI-Epileptic (Real),ElasticNet,0.01,0.36378876781223807,0.4799472196090892,0.5060668714555766,35.0,0.67
UCI-Epileptic (Real),L1,0.1,0.3457364341085271,0.4777091197109695,0.5109723534971644,35.0,0.6330434782608696
UCI-Epileptic (Real),L2,0.1,0.3610411418975651,0.4689151623416189,0.5071467391304347,0.0,0.6691304347826087
UCI-Epileptic (Real),ElasticNet,0.1,0.3646960865945046,0.47676887423441944,0.5118572778827978,25.0,0.6682608695652174
UCI-Epileptic (Real),L1,1.0,0.36062861869313484,0.47089311793726873,0.5079359640831758,25.0,0.6639130434782609
UCI-Epileptic (Real),L2,1.0,0.35888795282224095,0.4641790404452859,0.5025850661625708,0.0,0.6691304347826087
UCI-Epileptic (Real),ElasticNet,1.0,0.3602693602693603,0.4663435647633827,0.5059936200378071,10.0,0.6695652173913044
UCI-Epileptic (Real),L1,10.0,0.3609022556390977,0.46607605589924034,0.5060763232514178,0.0,0.6673913043478261
UCI-Epileptic (Real),L2,10.0,0.3528428093645485,0.46312055847798217,0.49797140831758036,0.0,0.6634782608695652
UCI-Epileptic (Real),ElasticNet,10.0,0.36150627615062764,0.465881973196486,0.5054584120982987,0.0,0.6682608695652174
UCI-Epileptic (Real),L1,100.0,0.3646960865945046,0.4668216302391146,0.5076039697542534,0.0,0.6682608695652174
UCI-Epileptic (Real),L2,100.0,0.3566021867115223,0.4633592248511612,0.4982715028355388,0.0,0.6673913043478261
UCI-Epileptic (Real),ElasticNet,100.0,0.3631799163179916,0.46651455093037364,0.505765595463138,0.0,0.6691304347826087
CHB-MIT Proxy (Real),L1,0.001,0.0,0.5,0.5,100.0,0.5
CHB-MIT Proxy (Real),L2,0.001,0.56590084643289,0.7081958777221463,0.5404395085066163,0.0,0.6097826086956522
CHB-MIT Proxy (Real),ElasticNet,0.001,0.0,0.5,0.5,100.0,0.5
CHB-MIT Proxy (Real),L1,0.01,0.5380249716231555,0.7045604606094508,0.5241965973534972,95.0,0.5576086956521739
CHB-MIT Proxy (Real),L2,0.01,0.5571776155717761,0.7010064457700832,0.5285538752362949,0.0,0.6043478260869565
CHB-MIT Proxy (Real),ElasticNet,0.01,0.56590084643289,0.7070318634989252,0.5385822306238185,55.00000000000001,0.6097826086956522
CHB-MIT Proxy (Real),L1,0.1,0.5613608748481167,0.7009380581994538,0.528445179584121,55.00000000000001,0.6076086956521739
CHB-MIT Proxy (Real),L2,0.1,0.5492102065613609,0.694559657771202,0.5193336483931947,0.0,0.5967391304347827
CHB-MIT Proxy (Real),ElasticNet,0.1,0.5606796116504854,0.7005111082628023,0.5277457466918716,45.0,0.6065217391304348
CHB-MIT Proxy (Real),L1,1.0,0.5483476132190942,0.694536429587083,0.5197826086956523,40.0,0.5989130434782609
CHB-MIT Proxy (Real),L2,1.0,0.5391095066185319,0.6937152667049544,0.5174432892249528,0.0,0.5836956521739131
CHB-MIT Proxy (Real),ElasticNet,1.0,0.5485436893203883,0.6942846085375303,0.5187618147448015,40.0,0.5956521739130435
CHB-MIT Proxy (Real),L1,10.0,0.5458937198067633,0.6950388144404144,0.5208742911153119,25.0,0.591304347826087
CHB-MIT Proxy (Real),L2,10.0,0.5381818181818182,0.6952693643587881,0.521696597353497,0.0,0.5858695652173913
CHB-MIT Proxy (Real),ElasticNet,10.0,0.5432692307692307,0.6953908850305236,0.5211531190926276,10.0,0.5869565217391305
CHB-MIT Proxy (Real),L1,100.0,0.5470297029702971,0.6959436944049933,0.5206190926275993,0.0,0.6021739130434782
CHB-MIT Proxy (Real),L2,100.0,0.5536585365853659,0.6981037288875243,0.5244943289224953,0.0,0.6021739130434782
CHB-MIT Proxy (Real),ElasticNet,100.0,0.5489721886336155,0.6957524074182628,0.5212854442344046,0.0,0.5945652173913043
Kaggle-Frequency (Real),L1,0.001,0.0,0.5,0.5,100.0,0.5
Kaggle-Frequency (Real),L2,0.001,0.7846763540290621,0.9939444030395519,0.9934404536862003,0.0,0.8228260869565217
Kaggle-Frequency (Real),ElasticNet,0.001,0.751696065128901,0.998985288319247,0.99851606805293,60.0,0.8010869565217391
Kaggle-Frequency (Real),L1,0.01,0.8005215123859192,0.9989906916293131,0.998303402646503,70.0,0.8336956521739131
Kaggle-Frequency (Real),L2,0.01,0.8711656441717791,0.9951100457300892,0.9946644612476372,0.0,0.8858695652173914
Kaggle-Frequency (Real),ElasticNet,0.01,0.8528678304239401,0.9987877230630342,0.9983790170132325,10.0,0.8717391304347826
Kaggle-Frequency (Real),L1,0.1,0.9627959413754228,0.9989897349664737,0.9982230623818524,80.0,0.9641304347826087
Kaggle-Frequency (Real),L2,0.1,0.9427917620137299,0.9971742892789595,0.9967438563327032,0.0,0.9456521739130435
Kaggle-Frequency (Real),ElasticNet,0.1,0.9485714285714286,0.9986709051293678,0.9982797731568999,15.0,0.9510869565217391
Kaggle-Frequency (Real),L1,1.0,0.9934354485776805,0.999124695991121,0.9985680529300568,70.0,0.9934782608695653
Kaggle-Frequency (Real),L2,1.0,0.9834619625137817,0.9987705908144452,0.998397920604915,0.0,0.9836956521739131
Kaggle-Frequency (Real),ElasticNet,1.0,0.9811738648947951,0.9989977085808073,0.9985727788279773,15.0,0.9815217391304348
Kaggle-Frequency (Real),L1,10.0,0.9956331877729258,0.9992148867111519,0.998804347826087,25.0,0.9956521739130435
Kaggle-Frequency (Real),L2,10.0,0.9923497267759562,0.9992193114643256,0.9989177693761815,0.0,0.9923913043478261
